age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,26.03.2020,175,44,0.3,1,0.1,0,0.0,0.0,175,44,0.3,1,0.1,0,0.0,0.0,175,44,0.3,1,0.1,0,0.0,0.0
10-19,26.03.2020,302,30,0.2,1,0.1,1,0.1,0.3,302,30,0.2,1,0.1,1,0.1,0.3,302,30,0.2,1,0.1,1,0.1,0.3
20-29,26.03.2020,1932,282,2.1,15,1.3,4,0.3,0.2,1932,282,2.1,15,1.3,4,0.3,0.2,1932,282,2.1,15,1.3,4,0.3,0.2
30-39,26.03.2020,3454,631,4.7,39,3.4,7,0.5,0.2,3454,631,4.7,39,3.4,7,0.5,0.2,3454,631,4.7,39,3.4,7,0.5,0.2
40-49,26.03.2020,5045,1273,9.5,94,8.3,19,1.4,0.4,5045,1273,9.5,94,8.3,19,1.4,0.4,5045,1273,9.5,94,8.3,19,1.4,0.4
50-59,26.03.2020,5749,1922,14.3,187,16.5,35,2.6,0.6,5749,1922,14.3,187,16.5,35,2.6,0.6,5749,1922,14.3,187,16.5,35,2.6,0.6
60-69,26.03.2020,5397,2634,19.6,333,29.4,114,8.6,2.1,5397,2634,19.6,333,29.4,114,8.6,2.1,5397,2634,19.6,333,29.4,114,8.6,2.1
70-79,26.03.2020,5377,3378,25.2,404,35.7,303,22.9,5.6,5377,3378,25.2,404,35.7,303,22.9,5.6,5377,3378,25.2,404,35.7,303,22.9,5.6
80-89,26.03.2020,4080,2527,18.8,52,4.6,594,44.8,14.6,4080,2527,18.8,52,4.6,594,44.8,14.6,4080,2527,18.8,52,4.6,594,44.8,14.6
90+,26.03.2020,1305,704,5.2,5,0.4,249,18.8,19.1,1305,704,5.2,5,0.4,249,18.8,19.1,1305,704,5.2,5,0.4,249,18.8,19.1
