age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,11.04.2020,292,86,0.2,8,0.2,1,0.0,0.3,292,86,0.2,8,0.2,1,0.0,0.3,292,86,0.2,8,0.2,1,0.0,0.3
10-19,11.04.2020,603,119,0.2,4,0.1,1,0.0,0.2,603,119,0.2,4,0.1,1,0.0,0.2,603,119,0.2,4,0.1,1,0.0,0.2
20-29,11.04.2020,5545,828,1.6,53,1.1,11,0.2,0.2,5545,828,1.6,53,1.1,11,0.2,0.2,5545,828,1.6,53,1.1,11,0.2,0.2
30-39,11.04.2020,10603,2214,4.2,165,3.5,24,0.3,0.2,10603,2214,4.2,165,3.5,24,0.3,0.2,10603,2214,4.2,165,3.5,24,0.3,0.2
40-49,11.04.2020,16591,5036,9.5,404,8.6,74,1.0,0.4,16591,5036,9.5,404,8.6,74,1.0,0.4,16591,5036,9.5,404,8.6,74,1.0,0.4
50-59,11.04.2020,20523,8212,15.6,903,19.3,212,2.9,1.0,20523,8212,15.6,903,19.3,212,2.9,1.0,20523,8212,15.6,903,19.3,212,2.9,1.0
60-69,11.04.2020,18261,10637,20.2,1485,31.8,637,8.8,3.5,18261,10637,20.2,1485,31.8,637,8.8,3.5,18261,10637,20.2,1485,31.8,637,8.8,3.5
70-79,11.04.2020,17474,12892,24.4,1483,31.7,1896,26.1,10.9,17474,12892,24.4,1483,31.7,1896,26.1,10.9,17474,12892,24.4,1483,31.7,1896,26.1,10.9
80-89,11.04.2020,14966,9973,18.9,153,3.3,3086,42.5,20.6,14966,9973,18.9,153,3.3,3086,42.5,20.6,14966,9973,18.9,153,3.3,3086,42.5,20.6
90+,11.04.2020,5455,2750,5.2,17,0.4,1318,18.2,24.2,5455,2750,5.2,17,0.4,1318,18.2,24.2,5455,2750,5.2,17,0.4,1318,18.2,24.2
