age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,24.04.2020,506,192,0.3,26,0.4,2,0.0,0.4,506,192,0.3,26,0.4,2,0.0,0.4,506,192,0.3,26,0.4,2,0.0,0.4
10-19,24.04.2020,871,189,0.3,13,0.2,3,0.0,0.3,871,189,0.3,13,0.2,3,0.0,0.3,871,189,0.3,13,0.2,3,0.0,0.3
20-29,24.04.2020,7981,1110,1.6,68,1.1,25,0.2,0.3,7981,1110,1.6,68,1.1,25,0.2,0.3,7981,1110,1.6,68,1.1,25,0.2,0.3
30-39,24.04.2020,14338,2850,4.1,209,3.5,50,0.4,0.3,14338,2850,4.1,209,3.5,50,0.4,0.3,14338,2850,4.1,209,3.5,50,0.4,0.3
40-49,24.04.2020,22476,6580,9.5,560,9.4,138,1.1,0.6,22476,6580,9.5,560,9.4,138,1.1,0.6,22476,6580,9.5,560,9.4,138,1.1,0.6
50-59,24.04.2020,27858,10776,15.6,1161,19.5,401,3.1,1.4,27858,10776,15.6,1161,19.5,401,3.1,1.4,27858,10776,15.6,1161,19.5,401,3.1,1.4
60-69,24.04.2020,23641,13448,19.5,1896,31.8,1152,8.8,4.9,23641,13448,19.5,1896,31.8,1152,8.8,4.9,23641,13448,19.5,1896,31.8,1152,8.8,4.9
70-79,24.04.2020,22490,16032,23.3,1781,29.9,3375,25.8,15.0,22490,16032,23.3,1781,29.9,3375,25.8,15.0,22490,16032,23.3,1781,29.9,3375,25.8,15.0
80-89,24.04.2020,22874,13654,19.8,217,3.6,5502,42.0,24.1,22874,13654,19.8,217,3.6,5502,42.0,24.1,22874,13654,19.8,217,3.6,5502,42.0,24.1
90+,24.04.2020,9848,4095,5.9,28,0.5,2457,18.7,24.9,9848,4095,5.9,28,0.5,2457,18.7,24.9,9848,4095,5.9,28,0.5,2457,18.7,24.9
