age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,27.04.2020,657,227,0.3,31,0.4,2,0.0,0.3,657,227,0.3,31,0.4,2,0.0,0.3,657,227,0.3,31,0.4,2,0.0,0.3
10-19,27.04.2020,1201,234,0.3,17,0.2,4,0.0,0.3,1201,234,0.3,17,0.2,4,0.0,0.3,1201,234,0.3,17,0.2,4,0.0,0.3
20-29,27.04.2020,11087,1317,1.6,83,1.1,22,0.1,0.2,11087,1317,1.6,83,1.1,22,0.1,0.2,11087,1317,1.6,83,1.1,22,0.1,0.2
30-39,27.04.2020,18866,3420,4.1,249,3.4,54,0.3,0.3,18866,3420,4.1,249,3.4,54,0.3,0.3,18866,3420,4.1,249,3.4,54,0.3,0.3
40-49,27.04.2020,29547,8039,9.6,693,9.6,170,1.1,0.6,29547,8039,9.6,693,9.6,170,1.1,0.6,29547,8039,9.6,693,9.6,170,1.1,0.6
50-59,27.04.2020,36353,13035,15.6,1434,19.9,495,3.1,1.4,36353,13035,15.6,1434,19.9,495,3.1,1.4,36353,13035,15.6,1434,19.9,495,3.1,1.4
60-69,27.04.2020,30314,16226,19.4,2316,32.1,1380,8.8,4.6,30314,16226,19.4,2316,32.1,1380,8.8,4.6,30314,16226,19.4,2316,32.1,1380,8.8,4.6
70-79,27.04.2020,29517,19431,23.2,2066,28.6,4003,25.4,13.6,29517,19431,23.2,2066,28.6,4003,25.4,13.6,29517,19431,23.2,2066,28.6,4003,25.4,13.6
80-89,27.04.2020,32109,16568,19.8,291,4.0,6584,41.8,20.5,32109,16568,19.8,291,4.0,6584,41.8,20.5,32109,16568,19.8,291,4.0,6584,41.8,20.5
90+,27.04.2020,14726,5093,6.1,38,0.5,3050,19.3,20.7,14726,5093,6.1,38,0.5,3050,19.3,20.7,14726,5093,6.1,38,0.5,3050,19.3,20.7
