age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,30.03.2020,212,65,0.3,3,0.2,0,0.0,0.0,212,65,0.3,3,0.2,0,0.0,0.0,212,65,0.3,3,0.2,0,0.0,0.0
10-19,30.03.2020,368,49,0.2,2,0.1,1,0.0,0.3,368,49,0.2,2,0.1,1,0.0,0.3,368,49,0.2,2,0.1,1,0.0,0.3
20-29,30.03.2020,2883,451,2.0,22,1.2,6,0.2,0.2,2883,451,2.0,22,1.2,6,0.2,0.2,2883,451,2.0,22,1.2,6,0.2,0.2
30-39,30.03.2020,5351,1099,4.8,65,3.7,10,0.4,0.2,5351,1099,4.8,65,3.7,10,0.4,0.2,5351,1099,4.8,65,3.7,10,0.4,0.2
40-49,30.03.2020,7965,2252,9.8,146,8.2,36,1.3,0.5,7965,2252,9.8,146,8.2,36,1.3,0.5,7965,2252,9.8,146,8.2,36,1.3,0.5
50-59,30.03.2020,9390,3431,14.9,295,16.6,78,2.8,0.8,9390,3431,14.9,295,16.6,78,2.8,0.8,9390,3431,14.9,295,16.6,78,2.8,0.8
60-69,30.03.2020,8744,4609,20.0,555,31.2,232,8.3,2.7,8744,4609,20.0,555,31.2,232,8.3,2.7,8744,4609,20.0,555,31.2,232,8.3,2.7
70-79,30.03.2020,8625,5869,25.5,620,34.9,759,27.3,8.8,8625,5869,25.5,620,34.9,759,27.3,8.8,8625,5869,25.5,620,34.9,759,27.3,8.8
80-89,30.03.2020,6255,4137,18.0,68,3.8,1216,43.7,19.4,6255,4137,18.0,68,3.8,1216,43.7,19.4,6255,4137,18.0,68,3.8,1216,43.7,19.4
90+,30.03.2020,1833,1026,4.5,3,0.2,446,16.0,24.3,1833,1026,4.5,3,0.2,446,16.0,24.3,1833,1026,4.5,3,0.2,446,16.0,24.3
