age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,14.05.2020,871,279,0.3,39,0.5,2,0.0,0.2,871,279,0.3,39,0.5,2,0.0,0.2,871,279,0.3,39,0.5,2,0.0,0.2
10-19,14.05.2020,1619,276,0.3,23,0.3,5,0.0,0.3,1619,276,0.3,23,0.3,5,0.0,0.3,1619,276,0.3,23,0.3,5,0.0,0.3
20-29,14.05.2020,13439,1476,1.6,89,1.1,23,0.1,0.2,13439,1476,1.6,89,1.1,23,0.1,0.2,13439,1476,1.6,89,1.1,23,0.1,0.2
30-39,14.05.2020,22643,3805,4.1,273,3.5,62,0.3,0.3,22643,3805,4.1,273,3.5,62,0.3,0.3,22643,3805,4.1,273,3.5,62,0.3,0.3
40-49,14.05.2020,35175,8659,9.4,741,9.4,201,1.0,0.6,35175,8659,9.4,741,9.4,201,1.0,0.6,35175,8659,9.4,741,9.4,201,1.0,0.6
50-59,14.05.2020,42874,14064,15.3,1560,19.7,610,3.2,1.4,42874,14064,15.3,1560,19.7,610,3.2,1.4,42874,14064,15.3,1560,19.7,610,3.2,1.4
60-69,14.05.2020,34380,17252,18.8,2532,32.0,1693,8.8,4.9,34380,17252,18.8,2532,32.0,1693,8.8,4.9,34380,17252,18.8,2532,32.0,1693,8.8,4.9
70-79,14.05.2020,32395,20773,22.6,2260,28.6,4628,24.2,14.3,32395,20773,22.6,2260,28.6,4628,24.2,14.3,32395,20773,22.6,2260,28.6,4628,24.2,14.3
80-89,14.05.2020,37409,18822,20.5,332,4.2,7861,41.0,21.0,37409,18822,20.5,332,4.2,7861,41.0,21.0,37409,18822,20.5,332,4.2,7861,41.0,21.0
90+,14.05.2020,18290,6336,6.9,57,0.7,4070,21.2,22.3,18290,6336,6.9,57,0.7,4070,21.2,22.3,18290,6336,6.9,57,0.7,4070,21.2,22.3
