age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,31.03.2020,234,74,0.3,4,0.2,1,0.0,0.4,234,74,0.3,4,0.2,1,0.0,0.4,234,74,0.3,4,0.2,1,0.0,0.4
10-19,31.03.2020,393,53,0.2,2,0.1,1,0.0,0.3,393,53,0.2,2,0.1,1,0.0,0.3,393,53,0.2,2,0.1,1,0.0,0.3
20-29,31.03.2020,3016,474,1.9,22,1.2,6,0.2,0.2,3016,474,1.9,22,1.2,6,0.2,0.2,3016,474,1.9,22,1.2,6,0.2,0.2
30-39,31.03.2020,5656,1163,4.6,66,3.6,13,0.4,0.2,5656,1163,4.6,66,3.6,13,0.4,0.2,5656,1163,4.6,66,3.6,13,0.4,0.2
40-49,31.03.2020,8493,2442,9.7,149,8.1,43,1.3,0.5,8493,2442,9.7,149,8.1,43,1.3,0.5,8493,2442,9.7,149,8.1,43,1.3,0.5
50-59,31.03.2020,10108,3744,14.9,303,16.5,99,3.0,1.0,10108,3744,14.9,303,16.5,99,3.0,1.0,10108,3744,14.9,303,16.5,99,3.0,1.0
60-69,31.03.2020,9396,5023,20.0,570,31.1,295,8.8,3.1,9396,5023,20.0,570,31.1,295,8.8,3.1,9396,5023,20.0,570,31.1,295,8.8,3.1
70-79,31.03.2020,9295,6405,25.5,643,35.1,914,27.4,9.8,9295,6405,25.5,643,35.1,914,27.4,9.8,9295,6405,25.5,643,35.1,914,27.4,9.8
80-89,31.03.2020,6859,4576,18.2,71,3.9,1442,43.2,21.0,6859,4576,18.2,71,3.9,1442,43.2,21.0,6859,4576,18.2,71,3.9,1442,43.2,21.0
90+,31.03.2020,2034,1138,4.5,3,0.2,523,15.7,25.7,2034,1138,4.5,3,0.2,523,15.7,25.7,2034,1138,4.5,3,0.2,523,15.7,25.7
