age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,03.04.2020,251,86,0.3,7,0.3,0,0.0,0.0,251,86,0.3,7,0.3,0,0.0,0.0,251,86,0.3,7,0.3,0,0.0,0.0
10-19,03.04.2020,445,78,0.2,3,0.1,1,0.0,0.2,445,78,0.2,3,0.1,1,0.0,0.2,445,78,0.2,3,0.1,1,0.0,0.2
20-29,03.04.2020,3662,557,1.7,30,1.2,6,0.1,0.2,3662,557,1.7,30,1.2,6,0.1,0.2,3662,557,1.7,30,1.2,6,0.1,0.2
30-39,03.04.2020,6997,1411,4.3,89,3.4,19,0.4,0.3,6997,1411,4.3,89,3.4,19,0.4,0.3,6997,1411,4.3,89,3.4,19,0.4,0.3
40-49,03.04.2020,10759,3119,9.5,227,8.8,48,1.1,0.4,10759,3119,9.5,227,8.8,48,1.1,0.4,10759,3119,9.5,227,8.8,48,1.1,0.4
50-59,03.04.2020,12986,4947,15.0,453,17.5,133,2.9,1.0,12986,4947,15.0,453,17.5,133,2.9,1.0,12986,4947,15.0,453,17.5,133,2.9,1.0
60-69,03.04.2020,11927,6720,20.4,823,31.8,387,8.5,3.2,11927,6720,20.4,823,31.8,387,8.5,3.2,11927,6720,20.4,823,31.8,387,8.5,3.2
70-79,03.04.2020,11630,8348,25.3,859,33.2,1238,27.3,10.6,11630,8348,25.3,859,33.2,1238,27.3,10.6,11630,8348,25.3,859,33.2,1238,27.3,10.6
80-89,03.04.2020,9064,6085,18.5,94,3.6,1945,42.8,21.5,9064,6085,18.5,94,3.6,1945,42.8,21.5,9064,6085,18.5,94,3.6,1945,42.8,21.5
90+,03.04.2020,2963,1594,4.8,6,0.2,766,16.9,25.9,2963,1594,4.8,6,0.2,766,16.9,25.9,2963,1594,4.8,6,0.2,766,16.9,25.9
