age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,21.04.2020,484,186,0.3,25,0.4,3,0.0,0.6,484,186,0.3,25,0.4,3,0.0,0.6,484,186,0.3,25,0.4,3,0.0,0.6
10-19,21.04.2020,821,182,0.3,13,0.2,3,0.0,0.4,821,182,0.3,13,0.2,3,0.0,0.4,821,182,0.3,13,0.2,3,0.0,0.4
20-29,21.04.2020,7525,1084,1.6,68,1.2,30,0.2,0.4,7525,1084,1.6,68,1.2,30,0.2,0.4,7525,1084,1.6,68,1.2,30,0.2,0.4
30-39,21.04.2020,13687,2795,4.1,198,3.4,57,0.5,0.4,13687,2795,4.1,198,3.4,57,0.5,0.4,13687,2795,4.1,198,3.4,57,0.5,0.4
40-49,21.04.2020,21370,6467,9.6,553,9.5,144,1.2,0.7,21370,6467,9.6,553,9.5,144,1.2,0.7,21370,6467,9.6,553,9.5,144,1.2,0.7
50-59,21.04.2020,26613,10588,15.7,1126,19.3,386,3.1,1.5,26613,10588,15.7,1126,19.3,386,3.1,1.5,26613,10588,15.7,1126,19.3,386,3.1,1.5
60-69,21.04.2020,22837,13289,19.7,1869,32.0,1103,8.9,4.8,22837,13289,19.7,1869,32.0,1103,8.9,4.8,22837,13289,19.7,1869,32.0,1103,8.9,4.8
70-79,21.04.2020,21827,15865,23.5,1741,29.8,3223,26.1,14.8,21827,15865,23.5,1741,29.8,3223,26.1,14.8,21827,15865,23.5,1741,29.8,3223,26.1,14.8
80-89,21.04.2020,21579,13239,19.6,214,3.7,5185,41.9,24.0,21579,13239,19.6,214,3.7,5185,41.9,24.0,21579,13239,19.6,214,3.7,5185,41.9,24.0
90+,21.04.2020,9040,3900,5.8,27,0.5,2231,18.0,24.7,9040,3900,5.8,27,0.5,2231,18.0,24.7,9040,3900,5.8,27,0.5,2231,18.0,24.7
