age,fecha,ConfT,HospT,HospT%,UCIT,UCIT%,FallT,FallT%,LetT,ConfM,HospM,HospM%,UCIM,UCIM%,FallM,FallM%,LetM,ConfH,HospH,HospH%,UCIH,UCIH%,FallH,FallH%,LetH
0-9,03.05.2020,725,246,0.3,36,0.5,2,0.0,0.3,725,246,0.3,36,0.5,2,0.0,0.3,725,246,0.3,36,0.5,2,0.0,0.3
10-19,03.05.2020,1306,254,0.3,19,0.3,5,0.0,0.4,1306,254,0.3,19,0.3,5,0.0,0.4,1306,254,0.3,19,0.3,5,0.0,0.4
20-29,03.05.2020,11914,1380,1.6,87,1.2,22,0.1,0.2,11914,1380,1.6,87,1.2,22,0.1,0.2,11914,1380,1.6,87,1.2,22,0.1,0.2
30-39,03.05.2020,20125,3575,4.1,256,3.4,57,0.3,0.3,20125,3575,4.1,256,3.4,57,0.3,0.3,20125,3575,4.1,256,3.4,57,0.3,0.3
40-49,03.05.2020,31342,8301,9.5,715,9.5,182,1.1,0.6,31342,8301,9.5,715,9.5,182,1.1,0.6,31342,8301,9.5,715,9.5,182,1.1,0.6
50-59,03.05.2020,38439,13533,15.5,1490,19.8,564,3.3,1.5,38439,13533,15.5,1490,19.8,564,3.3,1.5,38439,13533,15.5,1490,19.8,564,3.3,1.5
60-69,03.05.2020,31576,16698,19.1,2420,32.1,1515,8.8,4.8,31576,16698,19.1,2420,32.1,1515,8.8,4.8,31576,16698,19.1,2420,32.1,1515,8.8,4.8
70-79,03.05.2020,30478,20086,23.0,2159,28.6,4249,24.8,13.9,30478,20086,23.0,2159,28.6,4249,24.8,13.9,30478,20086,23.0,2159,28.6,4249,24.8,13.9
80-89,03.05.2020,33838,17556,20.1,312,4.1,7071,41.3,20.9,33838,17556,20.1,312,4.1,7071,41.3,20.9,33838,17556,20.1,312,4.1,7071,41.3,20.9
90+,03.05.2020,15828,5670,6.5,46,0.6,3472,20.3,21.9,15828,5670,6.5,46,0.6,3472,20.3,21.9,15828,5670,6.5,46,0.6,3472,20.3,21.9
