CCAA,fecha,casos,IA,UCI,muertes
Andalucía,5.03.2020,12,0.14,1,0
Aragón,5.03.2020,1,0.08,1,0
Asturias,5.03.2020,5,0.49,2,0
Baleares,5.03.2020,6,0.52,0,0
Canarias,5.03.2020,8,0.37,0,0
Cantabria,5.03.2020,10,1.72,0,0
CastillaLaMancha,5.03.2020,13,0.64,1,0
CastillayLeón,5.03.2020,11,0.46,1,0
Cataluña,5.03.2020,24,0.31,0,0
Ceuta,5.03.2020,0,0.00,0,0
C.Valenciana,5.03.2020,19,0.38,0,1
Extremadura,5.03.2020,6,0.56,0,0
Galicia,5.03.2020,1,0.04,0,0
Madrid,5.03.2020,90,1.35,2,1
Melilla,5.03.2020,0,0.00,0,0
Murcia,5.03.2020,0,0.00,0,0
Navarra,5.03.2020,3,0.46,1,0
PaísVasco,5.03.2020,17,0.77,0,1
LaRioja,5.03.2020,11,3.47,0,0
